League,Squad,Interceptions,Tackles,Saves,Clean_Sheets
Premier League,Arsenal,212,543,77,12
Premier League,Aston Villa,226,599,91,7
Premier League,Bournemouth,335,650,122,8
Premier League,Brentford,269,586,140,7
Premier League,Brighton,290,635,83,7
Premier League,Chelsea,258,540,104,9
Premier League,Crystal Palace,302,710,97,10
Premier League,Everton,306,684,104,10
Premier League,Fulham,282,627,97,5
Premier League,Ipswich Town,290,553,122,2
Premier League,Leicester City,306,674,122,2
Premier League,Liverpool,275,598,81,14
Premier League,Manchester City,206,463,82,11
Premier League,Manchester Utd,344,753,91,9
Premier League,Newcastle Utd,255,562,104,12
Premier League,Nott'ham Forest,298,634,110,13
Premier League,Southampton,280,603,146,2
Premier League,Tottenham,291,618,103,6
Premier League,West Ham,307,590,116,6
Premier League,Wolves,282,741,88,8
La Liga,Alavés,277,650,75,7
La Liga,Athletic Club,308,529,78,12
La Liga,Atlético Madrid,230,561,79,15
La Liga,Barcelona,196,480,65,11
La Liga,Betis,323,580,76,7
La Liga,Celta Vigo,262,498,77,7
La Liga,Espanyol,286,579,130,7
La Liga,Getafe,237,581,77,9
La Liga,Girona,242,503,83,7
La Liga,Las Palmas,289,560,110,4
La Liga,Leganés,304,569,109,9
La Liga,Mallorca,302,531,96,8
La Liga,Osasuna,237,564,117,7
La Liga,Rayo Vallecano,296,572,97,8
La Liga,Real Madrid,299,518,81,13
La Liga,Real Sociedad,250,596,82,13
La Liga,Sevilla,319,572,82,9
La Liga,Valencia,270,578,82,7
La Liga,Valladolid,286,539,103,5
La Liga,Villarreal,252,599,93,5
Serie A,Atalanta,270,534,100,15
Serie A,Bologna,238,551,56,12
Serie A,Cagliari,250,500,90,6
Serie A,Como,251,625,83,7
Serie A,Empoli,305,653,96,6
Serie A,Fiorentina,249,495,102,12
Serie A,Genoa,282,637,95,11
Serie A,Hellas Verona,306,617,96,8
Serie A,Inter,211,466,86,14
Serie A,Juventus,184,560,74,16
Serie A,Lazio,271,488,68,9
Serie A,Lecce,267,606,113,7
Serie A,Milan,216,509,93,12
Serie A,Monza,284,527,105,3
Serie A,Napoli,255,506,63,17
Serie A,Parma,262,477,96,6
Serie A,Roma,261,516,110,15
Serie A,Torino,264,438,122,10
Serie A,Udinese,285,526,100,9
Serie A,Venezia,258,559,126,6
Ligue 1,Angers,322,592,133,7
Ligue 1,Auxerre,329,626,117,10
Ligue 1,Brest,295,615,78,9
Ligue 1,Le Havre,308,592,100,4
Ligue 1,Lens,301,575,93,12
Ligue 1,Lille,253,600,88,11
Ligue 1,Lyon,273,541,114,9
Ligue 1,Marseille,264,520,84,5
Ligue 1,Monaco,338,640,82,10
Ligue 1,Montpellier,253,588,107,1
Ligue 1,Nantes,260,605,97,5
Ligue 1,Nice,344,606,117,7
Ligue 1,Paris S-G,249,587,65,7
Ligue 1,Reims,276,520,126,7
Ligue 1,Rennes,324,567,76,10
Ligue 1,Saint-Étienne,303,537,121,3
Ligue 1,Strasbourg,264,509,124,10
Ligue 1,Toulouse,269,573,62,10
Bundesliga,Augsburg,328,443,99,11
Bundesliga,Bayern Munich,223,480,40,14
Bundesliga,Bochum,279,560,78,4
Bundesliga,Dortmund,232,493,79,6
Bundesliga,Eint Frankfurt,276,538,117,9
Bundesliga,Freiburg,262,483,91,11
Bundesliga,Gladbach,290,475,123,7
Bundesliga,Heidenheim,301,586,104,8
Bundesliga,Hoffenheim,267,539,100,4
Bundesliga,Holstein Kiel,284,515,113,2
Bundesliga,Leverkusen,223,371,90,9
Bundesliga,Mainz 05,330,526,99,9
Bundesliga,RB Leipzig,258,520,100,13
Bundesliga,St. Pauli,251,521,89,9
Bundesliga,Stuttgart,274,452,80,6
Bundesliga,Union Berlin,299,497,82,8
Bundesliga,Werder Bremen,297,521,91,9
Bundesliga,Wolfsburg,293,462,98,5
