League,Squad,Possession,Shots_on_Target,Corners
Premier League,Arsenal,57.0,161,200
Premier League,Aston Villa,51.0,148,144
Premier League,Bournemouth,47.7,179,156
Premier League,Brentford,47.6,157,125
Premier League,Brighton,52.3,163,99
Premier League,Chelsea,57.7,195,120
Premier League,Crystal Palace,43.2,151,108
Premier League,Everton,40.9,122,92
Premier League,Fulham,52.2,151,84
Premier League,Ipswich Town,40.0,110,101
Premier League,Leicester City,45.5,96,81
Premier League,Liverpool,58.0,202,138
Premier League,Manchester City,61.4,195,110
Premier League,Manchester Utd,53.2,153,94
Premier League,Newcastle Utd,51.2,146,111
Premier League,Nott'ham Forest,40.5,151,65
Premier League,Southampton,49.4,102,93
Premier League,Tottenham,56.1,174,106
Premier League,West Ham,47.9,122,75
Premier League,Wolves,47.3,143,83
La Liga,Alavés,45.4,111,56
La Liga,Athletic Club,48.4,138,70
La Liga,Atlético Madrid,52.1,140,56
La Liga,Barcelona,68.1,215,91
La Liga,Betis,52.4,158,74
La Liga,Celta Vigo,53.6,148,47
La Liga,Espanyol,39.4,83,32
La Liga,Getafe,42.6,113,51
La Liga,Girona,57.1,123,81
La Liga,Las Palmas,50.1,122,48
La Liga,Leganés,41.9,89,42
La Liga,Mallorca,46.3,98,55
La Liga,Osasuna,46.3,107,58
La Liga,Rayo Vallecano,51.7,141,90
La Liga,Real Madrid,60.6,200,84
La Liga,Real Sociedad,54.5,110,61
La Liga,Sevilla,51.0,129,102
La Liga,Valencia,47.5,105,65
La Liga,Valladolid,42.5,83,65
La Liga,Villarreal,48.4,149,72
Serie A,Atalanta,55.6,168,78
Serie A,Bologna,58.2,154,50
Serie A,Cagliari,45.5,106,36
Serie A,Como,54.4,162,39
Serie A,Empoli,41.1,94,61
Serie A,Fiorentina,49.9,145,57
Serie A,Genoa,45.7,107,55
Serie A,Hellas Verona,38.7,88,65
Serie A,Inter,59.9,164,56
Serie A,Juventus,57.5,162,84
Serie A,Lazio,54.9,169,117
Serie A,Lecce,44.1,109,60
Serie A,Milan,54.2,171,128
Serie A,Monza,48.3,91,37
Serie A,Napoli,53.7,132,122
Serie A,Parma,44.2,125,52
Serie A,Roma,54.2,149,68
Serie A,Torino,47.5,112,85
Serie A,Udinese,47.5,127,54
Serie A,Venezia,45.1,110,56
Ligue 1,Angers,41.5,86,48
Ligue 1,Auxerre,42.2,139,46
Ligue 1,Brest,48.3,146,67
Ligue 1,Le Havre,42.8,91,86
Ligue 1,Lens,54.1,141,84
Ligue 1,Lille,56.9,148,44
Ligue 1,Lyon,56.6,166,73
Ligue 1,Marseille,63.7,172,74
Ligue 1,Monaco,55.1,171,84
Ligue 1,Montpellier,45.4,104,54
Ligue 1,Nantes,40.3,113,63
Ligue 1,Nice,47.6,169,57
Ligue 1,Paris S-G,68.1,257,59
Ligue 1,Reims,44.6,106,53
Ligue 1,Rennes,51.3,148,84
Ligue 1,Saint-Étienne,46.6,99,36
Ligue 1,Strasbourg,49.5,133,58
Ligue 1,Toulouse,45.2,131,90
Bundesliga,Augsburg,44.2,110,59
Bundesliga,Bayern Munich,68.1,241,123
Bundesliga,Bochum,45.6,121,101
Bundesliga,Dortmund,59.1,147,100
Bundesliga,Eint Frankfurt,49.3,161,93
Bundesliga,Freiburg,48.7,128,74
Bundesliga,Gladbach,49.7,144,61
Bundesliga,Heidenheim,43.0,112,68
Bundesliga,Hoffenheim,49.3,139,55
Bundesliga,Holstein Kiel,43.6,128,57
Bundesliga,Leverkusen,59.3,168,108
Bundesliga,Mainz 05,50.3,130,53
Bundesliga,RB Leipzig,52.6,135,56
Bundesliga,St. Pauli,44.3,105,63
Bundesliga,Stuttgart,57.0,154,64
Bundesliga,Union Berlin,39.7,116,66
Bundesliga,Werder Bremen,49.8,128,60
Bundesliga,Wolfsburg,46.0,126,94
